diversity_n_clusters,pos_filtering,cr_overspanning,nb_words,index,cr_weighted,stemming,cr_w,remove_stopwords
6,False,True,6,0,True,True,6,True
8,False,True,8,1,True,True,6,True
10,False,True,10,2,True,True,6,True
12,False,True,12,3,True,True,6,True
14,False,True,14,4,True,True,6,True
16,False,True,16,5,True,True,6,True
6,False,True,6,6,True,True,12,True
8,False,True,8,7,True,True,12,True
10,False,True,10,8,True,True,12,True
12,False,True,12,9,True,True,12,True
14,False,True,14,10,True,True,12,True
16,False,True,16,11,True,True,12,True
6,False,False,6,12,True,True,6,True
8,False,False,8,13,True,True,6,True
10,False,False,10,14,True,True,6,True
12,False,False,12,15,True,True,6,True
14,False,False,14,16,True,True,6,True
16,False,False,16,17,True,True,6,True
6,False,False,6,18,True,True,12,True
8,False,False,8,19,True,True,12,True
10,False,False,10,20,True,True,12,True
12,False,False,12,21,True,True,12,True
14,False,False,14,22,True,True,12,True
16,False,False,16,23,True,True,12,True
